BOX, DISTRICT, LAT, LONG
1526,4,-71.07162659318564,42.343982670319846
1525,4,-71.0700015937837,42.345139670600176
1544,4,-71.07313359455937,42.34635167105455
1546,4,-71.07582759501548,42.34705467033834
1547,4,-71.07439259577889,42.34895867109045
1562,4,-71.0786525965315,42.34784467004659
157,4,-71.08548859916439,42.34785566961089
1582,4,-71.08563459878818,42.34872067001968
1573,4,-71.08178559773283,42.34889367028505
1572,4,-71.07948659714611,42.34948867110766
1561,4,-71.0770275962992,42.34929367099477
1535,4,-71.07521259562213,42.35067867099033
153,3,-71.06745459221004,42.35262567127561
1511,4,-71.06477559298534,42.35167367174973
1531,4,-71.06762959331334,42.35188967214268
1519,4,-71.06988459415993,42.35018067109371
1532,4,-71.0717725938909,42.34866667078362
152,4,-71.07106259362457,42.34903067021213
1522,4,-71.06940159442237,42.34857967024044
1523,4,-71.0675715927857,42.34826667013121
1516,4,-71.0664475929736,42.348917671318006
1512,4,-71.06661959214483,42.349369671292045
1521,4,-71.06842059293143,42.34958567099909
1515,4,-71.06547859316194,42.349336671238795
1514,4,-71.06682459307889,42.350937672048666
1571,4,-71.07781859664867,42.35090567053343
1628,4,-71.06323859055088,42.346383670658916
1624,4,-71.06351659072782,42.345432670926826
1629,4,-71.06392659151398,42.344458670700426
1621,4,-71.06541959270518,42.34499967006496
1627,4,-71.06484859206499,42.34576767070226
1622,4,-71.0645555913689,42.34665467071115
1616,4,-71.06591759192871,42.34689267042935
1615,4,-71.06625059174365,42.346030670543286
1614,4,-71.06707359236111,42.344393669779315
1633,4,-71.0643505916489,42.34350566992416
1612,4,-71.06877159333087,42.347562670896586
1634,4,-71.06255059098004,42.343030670431084
1635,4,-71.06641459250507,42.34194866989841
1632,4,-71.06685459169188,42.343019669966324
1631,4,-71.06880059268065,42.341678669030735
1642,4,-71.0698985929218,42.34258767020853
1641,4,-71.07150959283284,42.341624669855825
1651,4,-71.07109959388687,42.34051066908448
1643,4,-71.06863959284246,42.340153668864914
1645,4,-71.06386759089736,42.34036966950042
1653,4,-71.0709505936219,42.338308668594856
1652,4,-71.07357359484061,42.338844668967575
1671,4,-71.07455359458675,42.339601669035815
1673,4,-71.07559359464202,42.33948266953604
1677,4,-71.07664759564365,42.33830366856828
1661,4,-71.07560759436775,42.33744966866761
1662,5,-71.07696959512738,42.336508668312746
1656,4,-71.07330959409575,42.33646466767861
1665,4,-71.07188959369901,42.33526466807142
1667,4,-71.07287059437671,42.334171668027885
1663,4,-71.07445159507503,42.33542666839313
1664,4,-71.07369059476123,42.335729668205076
1678,4,-71.07765759586319,42.3380986690624
1712,5,-71.07500959391253,42.32907566706803
1715,5,-71.07263859336163,42.3285666669853
1714,5,-71.07379459373662,42.32684566583252
1726,5,-71.07151059287114,42.326694666593994
1727,7,-71.0691835918273,42.325049666097904
1713,5,-71.07524459442008,42.32589366613942
173,7,-71.06805559196259,42.32389166623665
1723,7,-71.07079359245009,42.322884665511815
1724,7,-71.07197959260102,42.32507166599936
1721,7,-71.07388259378203,42.323772666219455
1753,7,-71.07599059480738,42.32184566619757
1731,7,-71.07218459244862,42.32140166548649
1734,7,-71.0692275910068,42.321488666164576
1741,7,-71.06552359040161,42.32127166585144
174,7,-71.06151158909168,42.32036266641386
1742,7,-71.06347358905947,42.318576665299446
1743,7,-71.06518659127335,42.316985664761
1744,7,-71.06729459146436,42.31799266454794
1735,7,-71.07041259197764,42.319280664946284
1767,7,-71.07098359135584,42.316152663906635
1766,7,-71.07307759316373,42.31705066466841
1765,7,-71.07418859298137,42.318277665410896
1764,7,-71.07524459346835,42.318371664819594
1782,7,-71.07771859413154,42.31406366426225
1783,7,-71.0764005934647,42.31348966398384
1785,7,-71.0752445931157,42.31436666439205
1777,7,-71.0732385926555,42.313652664048405
1775,7,-71.07215559187566,42.313684664552284
1778,7,-71.07323859310296,42.31223466364038
1787,7,-71.0758595936994,42.31138966358576
1772,7,-71.07013459194721,42.31126066336222
1771,7,-71.06845159125719,42.312721663416
177,7,-71.06730959154403,42.3146266650445
1794,7,-71.07960759476714,42.30986366312566
1795,7,-71.07861159424208,42.310956663180185
1796,7,-71.07688359372965,42.310318664045475
1798,7,-71.07969459477312,42.30711466249505
191,6,-71.04726658452674,42.319605666662646
1911,6,-71.04468058380922,42.319547665990555
